0 227759bc318163b2f2490690b828263f3f020cfb 1 2
0 373f76633cc1f6c7a421e31c989842021a52fca4 1 4
0 72d32c986b47d6b880dad0c3f155fe23d2939038 1 3
0 39f63dbdce9207b87878290c0e3983e84cfcecd9 1 1
0 5ca4abab527f6b0270e50548f0dea30638c9b86e 1 0
0 013cd20c0eaffb9cab80875a43086e0c3224fe20 1 2
0 2c03df8b48bf3fa39054345bafabfeff15bfd11d 1 3
0 12d1d070a53d4084d88a77b8b143bad51c40c38f 1 0
0 4728bac8f82149c844c50045fd62c550622b7a01 1 0
0 5352b7ca90cbe4938f8e71a25d49517e7f94670a 1 0
0 76e282712f35424d160d801a72e48372ab891a50 1 0
0 ad8c2721ef54c9326684762db7c9fc1378e83797 1 0
0 a62b58c267fddfa06545a7fc63a3c62ef7dc9e15 1 0
0 1d7705be75f4e29210373c2b40ee5cb6e46f0007 1 0
0 940b84cae7f8cef27351c7e0ff472cc3a80aff8c 1 0
0 1c40786dc5cc14efeb3a08e08bfdfdc52995b3ea 1 0
0 2315fc6c2c0c4abd2443e26a26e7bb86df8e24cc 1 4
0 0a8149fb5aa8a5684e7d530c264451a5cb9250f5 1 0
0 22ce15125f1c8fb466f241ce010e670d23dcc764 1 0
0 d26a48aff2abc3460c1018d5b410766f698d696c 1 0
0 553a6530b0802da9bec354d0a70fde254f6a5e36 1 0
0 1721f5ee35869512f46035833ad1b6ad6346b2ad 1 0
0 0d30860edf7dd5362436e6fd5262c618e33573d5 1 1
0 1a07186bc10592f0330655519ad91652125cd907 1 1
0 27208c88f07a1ffe97760c12be08fad3ab68fee2 1 0
0 0d67362a5630ec3b7562327acc278c1c996454b5 1 4
0 16243557482241171beccbbd694976103cc941ef 1 0
0 c72f5e1fa2eaa10933f0ffac95d323a80f50b00a 1 0
0 47225c992d7086cf5d113942212edb4a57401130 1 0
0 4149af3e0745ee805187eb1b8b65d7f8ced615ea 1 1
0 55136e0b6378e1b9c2738e3da6bdcf759c400dd3 1 0
0 051f689825d4f118a39a286cf72888d2d1a84438 1 0
0 4c0e637fecc62b689f78af4e934bb85cdc09f048 1 0
0 fcb42c401c36606216560118b4003dcd67bd5740 1 0
0 558c7e0fec15fee4de5d3a768725f9128d3f2002 1 0
0 e2b7f37cd97a7907b1b8a41138721ed06a0b76cd 1 1
0 d2d6451d76d1ec5cfb667df324c43872335f67a0 1 0
0 0122e063ca5f0f9fb9d144d44d41421503252010 1 1
0 2f64a414430e66bfd30a4a4837af037383150f33 1 1
0 4c46347fbc272b21468efe3d9af34b4b2bad6684 1 1
0 1d385cfe161d8c2f7fcc15c5a37871bce0261a9e 1 3
0 9260a65f84384b0b12b32810e171a3c1cc0c0ffa 1 2
0 31e1d021bd06054bbfcd915794e84448ae681000 1 0
0 2af22f144da59836946a58fe6ff993be59bccd24 1 3
0 b243599057df70de7547aed63fdbfad4e16ad976 1 1
0 5c0fe8ba39bda83d6ca3b9705a780809d52a67b4 1 0
0 48e305d9d044776d4783e2fad7168cb20c7d0512 1 0
0 284b18d7196f608448ca3d9496bf220b1dfffcf5 1 2
0 e6bef595cb78bcad4880aea6a3a73ecd32fbfe06 1 0
0 1d25abf69a40e6984c7bd081a23e3e5fecd6ed70 1 0
0 a560e5b66765e70325b11d29a0b01a2401344c5f 1 0
0 60f22ad725f041fff81d6371242485bbe5c3ebb6 1 1
0 667fb84bfca10bec165f9e2cca3e21f5e4829ca7 1 2
0 2375f6d71ce85a9ff457825e192c36045e994bdd 1 3
1 7cd78f6cf3fb9b957c642155de0543f7ff285641 11 0
1 2b4b95d3ad913b858e1ac5015497ca0671661aea 11 0
1 40096e64f99ef2fedea25e591825c9ee63bf7f00 11 0
1 b56e38b60aeb107ea47488d2bd4503eaa980a07d 11 0
1 9ddf6c4542e60c73fcbb295b6b2ed4aedf4429ab 11 3
1 08ba6eb7733d96ed2969f2f250c2134000629486 11 0
1 608f7f9fc83ef2ad1544db2ec6b22996ee866a9c 11 0
1 4460a2e7d93fb1a942aceec13c5b112d270c336f 11 0
1 8c0c7d97107cb6fbdf20e08b4accd549637cd0c4 11 0
1 68f4ebc38d1c3db4b8b9730aa0bc2b9e8f29fcec 11 0
1 78ecfd9c1817b1b6d0bfb17c811e6681d3748d5c 11 0
1 6497da6a2eb9ee1a08419d672a88f2f8e80b7344 11 0
1 225050ee487b17ced9f05844f078ff5345f5c9cc 11 0
1 ac18fb179a405f80bcfe94704ede659edafa1ee8 11 0
1 27bd55a21fb6b9cf0d2ea7f17ea4ea82654363c5 11 0
1 502ff2f9220ebc8c3544e6c4a005e819429ab716 11 0
1 7bddd30e16b7de4054fdfe499fcdaee02de7621d 11 1
1 ce3ac28a82d32ffdd82039c22f79a373a4263d4b 11 0
1 516dcc35d6df7c953fcd84b9bd3ea0b1db06eda9 11 2
1 3a209f72250db3accbd77e7625e76a41e118f73f 11 0
1 bde2a76bcb7543ec2b18cd6037a05a84314d3524 11 1
1 935e3a9a3d174218bbd39617638752c3fbd33943 11 0
1 561b0881fb83c7182bca4aec70bd287ea0f5be28 11 1
1 afbaa910367315f131b149718b05f19860c5e91f 11 0
1 b62430598576f433ed7b4c5c3d44000c236feab0 11 0
1 c5216334b1f5ce83f07d5d9e8253e5fb283b1ca3 11 0
1 99adf820a74b2366d85187f5fa6dfab2935131ff 11 0
1 6b7101e3619b85c1ea59e691d709b78db5a095f3 11 0
1 a6b7dcc54aeea1a422d7b4f27133cf712454d68e 11 0
1 022c5791580c5544d3c77c3cb133f9b67d695e55 11 0
1 9569cd99d40f8f2e6f1137c493861574aa1bac63 11 0
1 9396a136a2ab0b64c7d0dd1effe0174e75b4ffbc 11 0
1 f8041c3da9d0e8e3d8dec644d016087df64366be 11 0
1 002e061065186e28b5af4e51068058dc5a078c6e 11 0
1 f0cb4ffcbd2b5cb74fedc4db5b21b33811d11b7e 11 0
1 9430ff22287f4cd782970a81433822e8b76f1ea0 11 0
1 a1c66001edb2c2b6490332aec70ff0c2788d19aa 11 0
1 d3640368fe44f23c3d12cec71eeb60187b5c046e 11 0
1 e75d13f66ce50bd52e6a582f95027d0097185adf 11 0
1 d223a25697781237f70526505768526d049979ff 11 0
1 75185503145fd1c8c651a6a9c3786e2e8ec9af13 11 0
1 2f3bf0c1821840bb4bf4b5f8fb354f90c4b592de 11 0
1 994fd769ee654d3ce5f0be3b5a49635eec6c30cd 11 0
1 78763d41a08bcaef64a4ba86984c4570f0f5d265 11 0
1 abeeb201671691e38b835970c8b671d58c4313ea 11 2
1 209cf6d567ce372570ab95becf86111b0d2337be 11 1
1 b218069bb452dcdf7d5618cedda8743e898cb528 11 3
1 bd40b693d085a1470b24621ed2ff13a98fb1b391 11 0
1 51360ef5fb3ba46505278e017c20282180f8012f 11 0
1 6ebe1a9faf2e7b6a2e64c3f0e11251371a9ef239 11 3
1 7f97e1fef519b6017b258b785c3c1adcfbef7da4 11 0
1 4e3e2bbc38bbe239423c755d7682e647e8989358 11 0
1 84618d27726b911d3f9f977f9428cec883300a8d 11 0
1 f22ff82b5afbd20d4dc9e77c1aa6c3a4cb8778bd 11 0
1 6d9f6849ef77e540228547eb87855d217b9a099c 11 0
1 5bffe555e2a9d1976f8180ab2aed4f738ffa2f34 11 0
1 f416b2180ed547b67e6aa469cded80662831e482 11 0
1 38e61d9a65aa483ad0fb4a219fe54d4e6a2f6c36 11 0
1 c79082ee9822903053974d91d21ab3cbdbe6d2c4 11 2
1 5e47735f35bab481261696b76937042c9a457154 11 0
2 6b20af22b0734757d9ead382b201a65f9dd637cc 9 1
